run1,15_10_30,,,15_10_40,,,20_10_30,,,20_10_40,,,30_10_40,,,30_10_60,,,15_10_60,,,20_10_60,,,30_15_60,,,30_20_60,,
,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san
djpeg,11648,3871,134,12013,3899,134,11536,3863,134,12085,3901,134,12717,4029,145,11646,3899,134,12765,4040,142,12091,3901,134,11867,3875,134,11950,3901,134
jasper,10186,1702,35,9696,1508,47,9177,1448,34,9044,1443,33,9647,1508,46,10011,1693,32,10728,1785,45,10097,1690,33,9183,1455,32,10579,1756,44
readelf,1975,174,31,1804,145,25,1782,141,23,2040,178,28,1815,141,24,1803,144,26,1859,147,26,1848,145,26,1845,146,25,1841,146,25
objdump,9675,1041,86,9775,1058,95,10086,1063,103,10591,1202,96,9240,981,74,10333,1171,96,9803,1047,94,10567,1190,95,9205,974,76,10077,1151,94
tcpdump,28173,4368,158,25435,3870,126,27135,4214,158,25825,4083,147,28775,4575,168,26513,4178,153,25243,3905,158,27381,4272,185,26485,4228,167,25672,4036,160
tiff2pdf,12719,1791,19,13093,1931,16,13233,1943,18,12350,1773,19,13263,1936,17,13282,1949,26,13468,1982,22,13315,1965,24,12514,1760,16,11231,1357,25
tiff2ps,9284,1207,18,8994,1164,14,8904,1145,15,9181,1191,17,8901,1137,10,8700,1127,13,9020,1170,18,8847,1133,11,8940,1150,15,9258,1193,17
xmllint,8231,724,15,8035,721,18,8126,718,17,8233,741,15,8077,717,16,8135,725,16,8055,718,16,8209,723,16,8216,727,15,7848,715,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run2,15_10_30,,,15_10_40,,,20_10_30,,,20_10_40,,,30_10_40,,,30_10_60,,,15_10_60,,,20_10_60,,,30_15_60,,,30_20_60,,
,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san
djpeg,12109,3901,134,12057,3899,134,11686,3899,134,11811,3875,134,11841,3873,134,12011,3899,134,12749,4038,145,12480,3987,141,11685,3871,134,12727,4038,144
jasper,10540,1750,49,10035,1694,34,10458,1736,45,10134,1701,36,10525,1752,43,9221,1453,34,10054,1692,35,9040,1444,32,9856,1546,45,10537,1749,43
readelf,1881,153,28,2030,183,32,1800,138,22,1852,147,26,1915,154,26,2026,179,30,1816,145,26,2095,191,30,1963,157,29,1970,175,30
objdump,10012,1063,95,10607,1207,100,10387,1173,94,9668,1050,95,10427,1181,95,10056,1146,91,9897,1118,73,9706,1067,94,9953,1069,92,10746,1212,97
tcpdump,26712,4286,144,18557,2745,100,24416,3772,149,26168,4069,139,25153,3909,129,25278,3996,145,27916,4361,156,25811,4093,158,23226,3723,145,25533,4033,151
tiff2pdf,13065,1936,16,13386,1977,18,13355,1976,13,13224,1951,16,12676,1804,17,12533,1760,17,12596,1812,17,13159,1939,16,12598,1753,18,13238,1940,20
tiff2ps,9028,1171,14,8860,1143,13,8914,1139,14,8997,1160,12,8969,1154,13,8940,1124,14,9307,1219,21,9414,1242,20,8909,1132,14,9161,1187,16
xmllint,8184,737,15,7950,720,17,7880,709,15,7942,722,15,7960,693,10,7913,714,16,8116,718,15,7919,714,16,7866,712,17,8099,717,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run3,15_10_30,,,15_10_40,,,20_10_30,,,20_10_40,,,30_10_40,,,30_10_60,,,15_10_60,,,20_10_60,,,30_15_60,,,30_20_60,,
,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san
djpeg,12006,3901,134,12784,4040,145,11704,3899,134,12044,3901,134,11862,3901,134,11845,3901,134,11508,3865,134,12536,4041,145,11810,3875,134,11939,3901,134
jasper,9972,1546,52,9343,1483,32,9476,1498,36,9614,1508,45,9940,1692,29,9428,1462,35,10134,1697,44,9963,1686,31,10452,1741,39,10108,1700,37
readelf,1783,141,24,1739,131,20,1754,141,21,1802,144,24,1728,131,21,1777,141,23,1818,141,24,1845,145,24,1824,144,25,1775,142,24
objdump,9741,1060,95,8804,937,69,9950,1069,89,10483,1194,94,10079,1071,93,9544,1059,91,10594,1191,102,10380,1169,95,10711,1218,98,10289,1181,95
tcpdump,26975,4243,151,27998,4480,167,25162,3942,148,24089,3689,161,25216,3911,146,26802,4214,165,24404,3787,150,24229,3747,131,22688,3518,137,25195,3906,153
tiff2pdf,13192,1930,19,10722,1377,15,12472,1783,19,13292,1961,18,13011,1932,20,13052,1920,21,13375,1966,21,13354,1967,21,12723,1832,14,13066,1942,18
tiff2ps,9091,1153,11,8757,1107,11,8997,1160,13,8926,1143,11,9041,1170,13,8892,1143,11,9381,1232,20,9298,1210,15,8928,1142,13,8850,1148,14
xmllint,7935,716,15,8083,724,15,7988,720,17,7909,712,16,8065,717,17,7977,717,17,8164,721,16,7767,694,9,8131,726,16,7956,715,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run4,15_10_30,,,15_10_40,,,20_10_30,,,20_10_40,,,30_10_40,,,30_10_60,,,15_10_60,,,20_10_60,,,30_15_60,,,30_20_60,,
,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san
djpeg,12552,4001,144,11894,3873,134,11772,3869,134,12043,3899,134,12234,3939,140,12110,3912,134,11695,3873,134,12054,3901,134,11866,3873,134,11545,3875,134
jasper,9031,1436,28,10578,1750,50,10126,1696,39,10564,1754,53,10416,1733,44,10624,1756,47,9026,1444,32,9627,1507,44,10554,1753,50,9778,1510,45
readelf,1782,141,24,2053,173,24,1892,152,28,2115,179,27,2225,189,26,1939,172,32,1834,144,24,1767,140,24,1850,147,25,1701,130,21
objdump,9914,1094,97,10280,1115,96,10380,1172,80,10232,1171,94,10530,1191,102,9966,1132,73,10325,1176,87,9892,1064,94,10064,1085,97,9765,1054,102
tcpdump,26844,4257,147,24305,3781,139,22386,3573,149,28161,4538,171,26806,4132,158,24743,3798,145,26796,4157,150,21487,3410,134,25232,3885,138,24526,3804,152
tiff2pdf,12897,1830,16,13192,1960,20,13304,1980,18,13150,1934,16,13192,1927,18,12623,1837,17,13204,1978,17,13305,1937,22,13211,1937,20,13172,1928,21
tiff2ps,8933,1147,12,8908,1147,13,8980,1163,21,9117,1179,11,9003,1143,12,9148,1183,14,9005,1158,10,9260,1210,18,8812,1113,14,8819,1128,12
xmllint,8089,715,17,8127,726,16,8077,726,15,8168,719,16,7897,721,16,7935,723,17,8023,713,12,7917,714,15,8031,717,14,7875,719,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run5,15_10_30,,,15_10_40,,,20_10_30,,,20_10_40,,,30_10_40,,,30_10_60,,,15_10_60,,,20_10_60,,,30_15_60,,,30_20_60,,
,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san
djpeg,11662,3865,134,12067,3899,134,11719,3901,134,11952,3901,134,12053,3908,134,12653,4040,145,11994,3901,134,12728,4038,143,12396,4004,144,12671,4053,145
jasper,10539,1755,44,10201,1706,45,10533,1752,47,9603,1486,40,9712,1512,45,10619,1754,46,10674,1755,45,9326,1459,36,10137,1695,34,9042,1443,32
readelf,1744,140,24,1883,149,28,1794,141,24,1968,175,28,1809,143,24,1770,141,24,1798,145,24,1853,138,23,1743,129,20,1812,145,23
objdump,10075,1068,100,10016,1093,98,10424,1178,93,9775,1147,78,10095,1071,93,10326,1177,96,9088,969,80,10677,1226,99,9618,1045,93,8838,941,68
tcpdump,25593,3987,145,23576,3581,134,24163,3745,138,25042,3964,145,25075,3950,153,27686,4363,180,26098,4100,172,25358,4012,150,24954,3924,133,24567,3872,135
tiff2pdf,13290,1966,21,13371,1953,17,13160,1941,23,12616,1764,17,13323,1975,17,12413,1769,16,12618,1796,17,13015,1928,16,13977,2066,19,13113,1925,17
tiff2ps,9141,1192,13,9020,1167,16,8884,1146,17,8777,1121,10,9068,1179,11,8912,1145,17,8907,1144,12,8888,1135,15,8839,1132,10,9096,1176,13
xmllint,8023,711,16,8013,728,14,8063,712,10,8102,724,17,8144,721,15,7908,713,16,7897,712,15,8063,718,16,8072,713,17,7897,715,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,15_10_30,,,15_10_40,,,20_10_30,,,20_10_40,,,30_10_40,,,30_10_60,,,15_10_60,,,20_10_60,,,30_15_60,,,30_20_60,,
,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san,cov,reach,san
djpeg,11995.4,3907.8,136,12163,3922,136.2,11683.4,3886.2,134,11987,3895.4,134,12141.4,3930,137.4,12053,3930.2,136.2,12142.2,3943.4,137.8,12377.8,3973.6,139.4,11924.8,3899.6,136,12166.4,3953.6,138.2
jasper,10053.6,1637.8,41.6,9970.6,1628.2,41.6,9954,1626,40.2,9791.8,1578.4,41.4,10048,1639.4,41.4,9980.6,1623.6,38.8,10123.2,1674.6,40.2,9610.6,1557.2,35.2,10036.4,1638,40,10008.8,1631.6,40.2
readelf,1833,149.8,26.2,1901.8,156.2,25.8,1804.4,142.6,23.6,1955.4,164.6,26.6,1898.4,151.6,24.2,1863,155.4,27,1825,144.4,24.8,1881.6,151.8,25.4,1845,144.6,24.8,1819.8,147.6,24.6
objdump,9883.4,1065.2,94.6,9896.4,1082,91.6,10245.4,1131,91.8,10149.8,1152.8,91.4,10074.2,1099,91.4,10045,1137,89.4,9941.4,1100.2,87.2,10244.4,1143.2,95.4,9910.2,1078.2,91.2,9943,1107.8,91.2
tcpdump,26859.4,4228.2,149,23974.2,3691.4,133.2,24652.4,3849.2,148.4,25857,4068.6,152.6,26205,4095.4,150.8,26204.4,4109.8,157.6,26091.4,4062,157.2,24853.2,3906.8,151.6,24517,3855.6,144,25098.6,3930.2,150.2
tiff2pdf,13032.6,1890.6,18.2,12752.8,1839.6,17.2,13104.8,1924.6,18.2,12926.4,1876.6,17.2,13093,1914.8,17.8,12780.6,1847,19.4,13052.2,1906.8,18.8,13229.6,1947.2,19.8,13004.6,1869.6,17.4,12764,1818.4,20.2
tiff2ps,9095.4,1174,13.6,8907.8,1145.6,13.4,8935.8,1150.6,16,8999.6,1158.8,12.2,8996.4,1156.6,11.8,8918.4,1144.4,13.8,9124,1184.6,16.2,9141.4,1186,15.8,8885.6,1133.8,13.2,9036.8,1166.4,14.4
xmllint,8092.4,720.6,15.6,8041.6,723.8,16,8026.8,717,14.8,8070.8,723.6,15.8,8028.6,713.8,14.8,7973.6,718.4,16.4,8051,716.4,14.8,7975,712.6,14.4,8063.2,719,15.8,7935,716.2,16.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,best vs worst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cov,reach,san,,,,,,,,,,,,,,,,,,,,,,,,,,,
djpeg,5.94%,2.25%,4.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,
jasper,5.33%,7.54%,18.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,
readelf,8.37%,15.43%,14.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,
objdump,3.66%,8.22%,9.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,
tcpdump,12.03%,14.54%,18.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiff2pdf,3.74%,7.08%,17.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiff2ps,2.88%,4.60%,37.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,
xmllint,1.98%,1.57%,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,